"year","SASAP.Region","species","p_conf","sector","source_report","harvest"
1979,"Norton Sound","sockeye",NA,"Commercial","Report",57
1979,"Prince William Sound","chinook",0,"Commercial",NA,2013
1979,"Prince William Sound","chum",0,"Commercial",NA,326398
1979,"Prince William Sound","coho",0,"Commercial",NA,6827
1979,"Prince William Sound","pink",0,"Commercial",NA,15403892
1979,"Prince William Sound","sockeye",0,"Commercial",NA,150234
1979,"Southeast","chinook",0,"Commercial",NA,365947
1979,"Southeast","chum",0,"Commercial",NA,879292
1979,"Southeast","coho",0,"Commercial",NA,1267816
1979,"Southeast","pink",0,"Commercial",NA,10707589
1979,"Southeast","sockeye",0,"Commercial",NA,1047898
1979,"Yukon","chinook",0,"Commercial",NA,127010
1979,"Yukon","chum",0,"Commercial",NA,1132683
1979,"Yukon","coho",0,"Commercial",NA,16974
1980,"Alaska Peninsula and Aleutian Islands","chinook",NA,"Commercial","Report",21423
1980,"Alaska Peninsula and Aleutian Islands","chum",NA,"Commercial","Report",2058182
1980,"Alaska Peninsula and Aleutian Islands","coho",NA,"Commercial","Report",402061
1980,"Alaska Peninsula and Aleutian Islands","pink",NA,"Commercial","Report",10760603
1980,"Alaska Peninsula and Aleutian Islands","sockeye",NA,"Commercial","Report",5019369
1980,"Bristol Bay","chinook",0,"Commercial",NA,95448
1980,"Bristol Bay","chum",0,"Commercial",NA,1299978
1980,"Bristol Bay","coho",0,"Commercial",NA,348087
1980,"Bristol Bay","pink",0,"Commercial",NA,2557213
1980,"Bristol Bay","sockeye",0,"Commercial",NA,23734926
1980,"Chignik","chinook",NA,"Commercial","Report",2344
1980,"Chignik","chum",NA,"Commercial","Report",252521
1980,"Chignik","coho",NA,"Commercial","Report",119573
1980,"Chignik","pink",NA,"Commercial","Report",1093184
1980,"Chignik","sockeye",NA,"Commercial","Report",859966
1980,"Cook Inlet","chinook",0,"Commercial",NA,14218
1980,"Cook Inlet","chum",0,"Commercial",NA,458239
1980,"Cook Inlet","coho",0,"Commercial",NA,284955
1980,"Cook Inlet","pink",0,"Commercial",NA,2670961
1980,"Cook Inlet","sockeye",0,"Commercial",NA,1634761
